ItemCode,DiscountPrice,OriginalPrice,GiftCode
12842-22,"$1,203.99","$1,239.99",B
12842-24,"$1,310.99","$1,349.99",B
12843-16,"$1,184.99","$1,219.99",B
12843-18,"$1,329.99","$1,369.99",B
12843-20,"$1,475.99","$1,519.99",B
12843-22,"$1,611.99","$1,659.99",B
12843-24,"$1,737.99","$1,789.99",B
12844-18,"$1,979.99","$2,039.99",C
12844-20,"$2,154.99","$2,219.99",C
12844-22,"$2,328.99","$2,399.99",C
12844-24,"$2,561.99","$2,639.99",C
12867-14,$346.99,$359.99,0
12867-16,$375.99,$389.99,0
12867-18,$413.99,$429.99,0
12867-20,$452.99,$469.99,0
12867-22,$480.99,$499.99,0
12867-24,$500.99,$519.99,0
12868-14,$461.99,$479.99,0
12868-16,$500.99,$519.99,0
12868-18,$548.99,$569.99,0
12868-20,$602.99,$619.99,A
12868-22,$631.99,$649.99,A
12868-24,$670.99,$689.99,A
12869-16,$767.99,$789.99,A
12869-18,$844.99,$869.99,A
12869-20,$941.99,$969.99,A
