ItemRoot,UnitsLast365,Last365DaysSales,ItemAvgWeight,CountOnHand
206790,9.0,"$3,779.91",1.440,14
206791,0.5,$220.00,1.720,12
206807,3.5,"$1,644.97",2.030,10
206808,1.0,$449.99,1.860,13
206809,6.0,"$2,339.94",1.560,1
206811,2.5,"$2,099.98",3.640,14
206812,0.5,$260.00,2.490,17
206820,2.0,"$1,499.98",3.700,22
206846,44.5,"$9,789.56",0.550,223
206848,33.5,"$16,749.67",1.800,200
206858,3.0,"$1,469.97",2.100,11
206876,1.0,$389.99,1.550,6
206927,0.5,$190.00,1.300,13
206958,2.5,"$1,499.98",2.500,9
207009,0.0,$0.00,2.000,19
207025,3.0,$869.97,1.100,15
207027,27.5,"$5,224.73",0.700,0
207036,0.0,$0.00,5.260,20
207049,4.5,"$1,439.96",1.280,157
207074,18.0,"$18,449.82",4.505,22
207076,22.5,"$17,774.78",3.610,0
207079,6.5,"$12,255.39",8.327,11
207087,10.5,"$24,036.82",11.998,13
207093,6.0,"$7,687.44",6.484,16
207095,11.0,"$16,604.39",7.432,40
207132,24.0,"$48,116.12",9.875,33
207202,1.0,"$1,447.77",7.046,36
207219,16.5,"$23,842.34",6.395,4
207229,3.5,"$7,979.97",8.260,8
300202,4.5,"$11,339.96",13.500,3
300205,0.0,$0.00,8.250,8
300959,4.5,"$8,414.96",7.350,5
300987,2.5,"$5,399.98",9.900,8
303945,4.0,"$8,159.96",9.600,3
303950,5.0,"$9,349.95",9.660,6
800779,21.5,"$34,399.79",8.410,17
800967,2.5,"$3,749.98",7.300,8
802230,5.0,"$8,749.95",9.010,8
802234,8.5,"$14,874.92",8.600,9
802254,10.0,"$12,499.90",6.020,4
802258,3.0,"$4,499.97",7.230,14
804405,4.5,"$5,984.96",5.640,9
804426,1.0,"$1,119.99",4.440,6
804440,,"$1,999.98",,
